spu_id	product_name	asset_path	stored_file	file_size
9540000000000000001	油麦菜 约300g/份	蔬菜/油麦菜 约300g-份.jpg	d6650771-5f1b-5910-9e70-8aac605a0ad2.jpg	403973
9540000000000000002	新鲜菠菜 约300g/份	蔬菜/新鲜菠菜 约300g-份.jpg	bf250889-7506-5663-b68c-f9c267227d0f.jpg	24629
9540000000000000003	娃娃菜 3颗装 约500g	蔬菜/娃娃菜 3颗装 约500g.jpg	d3dcc610-8d23-5908-bf5f-e8553e67d279.jpg	30714
9540000000000000004	黄心土豆 约500g/份	蔬菜/黄心土豆 约500g-份.jpg	f5fa1f7f-a5d8-5d06-91ae-6105281e3a18.jpg	249417
9540000000000000005	紫皮洋葱 约500g/份	蔬菜/紫皮洋葱 约500g-份.jpg	0daad437-94a2-541a-811b-a760b7045604.jpg	175810
9540000000000000006	新鲜胡萝卜 约400g/份	蔬菜/新鲜胡萝卜 约400g-份.jpg	9ad07eba-62cd-5411-972c-0b7c66a2da72.jpg	40471
9540000000000000007	普罗旺斯西红柿 约500g/份	蔬菜/普罗旺斯西红柿 约500g-份.jpg	062cdae5-544c-5f0b-96c5-288987793e4a.jpg	238126
9540000000000000008	荷兰黄瓜 2根装 约300g	蔬菜/荷兰黄瓜 2根装 约300g.jpg	0d13ba9e-652f-5c19-8b8b-6c020296e246.jpg	113553
9540000000000000009	紫长茄子 约400g/份	蔬菜/紫长茄子 约400g-份.jpg	8193de5e-8775-5351-8c44-92d3295afda6.jpg	145220
9540000000000000010	小香葱 约100g/份	蔬菜/小香葱 约100g-份.jpg	78f47746-bc68-56bf-8070-ee7ffe72eeba.jpg	327239
9540000000000000011	独头蒜 约200g/份	蔬菜/独头蒜 约200g-份.jpg	6d9dbdc2-3aff-5c19-8617-b989388da68f.jpg	43744
9540000000000000012	白玉菇 2连包 约400g	蔬菜/白玉菇 2连包 约400g.jpg	392f5c86-3d4d-51bc-83a5-2eb02c49ab51.jpg	72026
9540000000000000013	新鲜香菇 约300g/份	蔬菜/新鲜香菇 约300g-份.jpg	5ed8a171-36b3-5dd4-acb1-cac617e71ea0.jpg	269967
9540000000000000014	嫩豆腐 2盒装 约800g	蔬菜/嫩豆腐 2盒装 约800g.jpg	013568ca-01cb-519c-8c0e-1b9bf6a0fc50.jpg	35691
9540000000000000015	千张豆腐皮 约300g/份	蔬菜/千张豆腐皮 约300g-份.jpg	41816ad8-59e0-56eb-a90c-a66c24d2f6fd.jpg	134363
9540000000000000016	烟台红富士苹果 4个装 约1kg	水果/烟台红富士苹果 4个装 约1kg.jpg	e8890bed-4962-5297-994f-8341236a738e.jpg	139884
9540000000000000017	新疆库尔勒香梨 6个装 约1.2kg	水果/新疆库尔勒香梨 6个装 约1.2kg.jpg	911bd777-8d4a-5d03-9a5b-e7f7b1e1e7ff.jpg	84513
9540000000000000018	赣南脐橙 5个装 约1kg	水果/赣南脐橙 5个装 约1kg.jpg	751151ee-2861-52ed-837b-c41fc7af06c9.jpg	79255
9540000000000000019	福建琯溪蜜柚 1个 约1kg	水果/福建琯溪蜜柚 1个 约1kg.jpg	30c310d8-3773-57ba-97e9-eac41e98e23b.jpg	43455
9540000000000000020	海南高山香蕉 约1kg/把	水果/海南高山香蕉 约1kg-把.jpg	bd8dc217-50a4-5047-a319-482da462045a.jpg	16158
9540000000000000021	海南贵妃芒 3个装 约500g	水果/海南贵妃芒 3个装 约500g.jpg	fb63dbf5-f4c8-5882-a4ae-cbf76421a7fd.jpg	110384
9540000000000000022	泰国椰青 1个装 约1kg	水果/泰国椰青 1个装 约1kg.jpg	66ec184a-1eee-5b49-85bb-2198f26d8252.jpg	179196
9540000000000000023	麒麟西瓜 1个 约2kg	水果/麒麟西瓜 1个 约2kg.jpg	f1120f6f-ee96-5f3d-97d3-800c5b6b8d62.jpg	153517
9540000000000000024	西州蜜哈密瓜 1个 约1.5kg	水果/西州蜜哈密瓜 1个 约1.5kg.jpg	bc58e7ba-12d6-5cb6-b312-ffb6ac1b928d.jpg	10510
9540000000000000025	云南阳光玫瑰葡萄 500g/串	水果/云南阳光玫瑰葡萄 500g-串.jpg	871161fb-ff69-5661-8cbe-1e84345cc58e.jpg	73428
9540000000000000026	丹东99红颜草莓 250g/盒	水果/丹东99红颜草莓 250g-盒.jpg	32ce4e22-347c-5fb4-9cf6-df94de028362.jpg	77495
9540000000000000027	猪五花肉片 约300g/份	肉禽蛋/猪五花肉片 约300g-份.jpg	1060e150-4d0d-5e07-a14f-76f3dce01ef5.jpg	89476
9540000000000000028	猪里脊肉 约300g/份	肉禽蛋/猪里脊肉 约300g-份.jpg	b2879c2e-3b6d-5c01-8d6f-6d0ad4b2333e.jpg	87397
9540000000000000029	原切谷饲牛腩块 约500g/盒	肉禽蛋/原切谷饲牛腩块 约500g-盒.jpg	3de6b614-e23e-5171-8022-687092f3f29d.jpg	275211
9540000000000000030	澳洲谷饲原切牛排 2片装 约300g	肉禽蛋/澳洲谷饲原切牛排 2片装 约300g.jpg	46805a9b-a84f-5aa8-a0c4-351fa4357bac.jpg	443783
